domain_id,role,opponent,opponent_seen,score,utility,opp_utility,nash,agreement,rounds,predicted_e
domain01,A,ConcederTBNegotiator,True,0.8815662829515685,0.9967008414999999,0.6149477899,0.6129189796718951,True,18,0.32349535822868347
domain01,A,BOA_Hardliner,True,0.4066102401999999,0.4066102402,0.9999999999999999,0.4066102401999999,True,81,2.9263173937797546
domain01,A,BOA_Conceder,True,0.7728561155044695,0.8812085514,0.5901369934,0.5200337650815654,True,70,0.3251463770866394
domain01,A,BOA_Moderate,True,0.6296695072023445,0.7319653955000001,0.5341497064999999,0.3909791011744814,True,90,0.3251463770866394
domain01,A,MiCRONegotiator,False,0.42976233711544787,0.43411397649999994,0.9665860455999999,0.41960851188482623,True,85,0.3251463770866394
domain01,A,NiceNegotiator,False,0.7857081014499999,1.0,0.28569367149999997,0.28569367149999997,True,1,0.5
domain01,A,RandomNegotiator,False,0.32799999999999996,0.4,0.4,0.16000000000000003,False,2,0.2889384925365448
domain01,A,ToughNegotiator,False,0.4066102401999999,0.4066102402,0.9999999999999999,0.4066102401999999,True,81,2.9263173937797546
domain01,A,SimpleTitForTatNegotiator,False,0.4066102401999999,0.4066102402,0.9999999999999999,0.4066102401999999,True,81,2.9263173937797546
domain01,A,TopFractionNegotiator,False,0.49085879420153844,0.5269708691,0.7715745023999999,0.406597286105128,True,96,0.3251463770866394
domain01,A,FirstOfferOrientedTBNegotiator,False,0.540743144926338,0.5654897602,0.8541287157,0.483001042621127,True,72,1.9508782625198364
domain01,B,AspirationNegotiator,True,0.5931498139166468,0.6174718751999999,0.8687008414999999,0.5363983375888228,True,70,0.9215178787708282
domain01,B,BoulwareTBNegotiator,True,0.6999166816893689,0.7119328584999999,0.9437391852,0.6718789357978968,True,57,0.9215178787708282
domain01,B,NaiveTitForTatNegotiator,True,0.6999166816893689,0.7119328584999999,0.9437391852,0.6718789357978968,True,84,0.30717262625694275
domain01,B,TimeBasedConcedingNegotiator,True,0.6999166816893689,0.7119328584999999,0.9437391852,0.6718789357978968,True,57,0.9215178787708282
domain01,B,BOA_Boulware,True,0.6999166816893689,0.7119328584999999,0.9437391852,0.6718789357978968,True,64,0.9215178787708282
domain01,B,LinearTBNegotiator,True,0.5050035131477887,0.5889965639999999,0.524654551,0.3090197278259627,True,81,0.2576390504837036
domain01,B,ConcederTBNegotiator,True,0.49403006907006036,0.5994571161,0.41376375280000005,0.24803362600020132,True,93,0.21893105804920196
domain01,B,BOA_Hardliner,True,0.6143391468315685,0.6149477899,0.9967008414999999,0.6129189796718951,True,79,2.7645536363124847
domain01,B,BOA_Conceder,True,0.38629190134365005,0.4523967861,0.5129284234,0.23204717024550003,True,83,0.2576390504837036
domain01,B,BOA_Moderate,True,0.8219830720599999,0.9999999999999999,0.4066102402,0.4066102401999999,True,91,0.30717262625694275
